สถานะการเข้างาน,หมายเลขงาน,รหัสร้าน,ชื่อร้าน,โซน,ทีม,สัญญา,ผู้รับผิดชอบงาน,แผนเข้างาน,เวลาเริ่มงาน,เวลาปิดงาน,ข้อเสนอแนะ,ข้อเสนอแนะเพิ่มเติม
"ตรงแผน","520004020629","B01139","สาขา หนองบัวลำภู","NEU","NEU4SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 19:37:19","2024-06-08 21:33:56","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020715","B01444","สาขา จรัญฯ 40","BG","BG1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 00:36:50","2024-06-08 01:35:14","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020897","B02082","สาขา PTTOR บ้านเฉวง","RSU","RSU2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-07 09:39:02","2024-06-07 10:06:40","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020976","B02380","สาขา ตลาดสินทอง","BG","BG6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-09 01:09:44","2024-06-09 01:34:39","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021139","B02939","สาขา บ้านเฉวง 3","RSU","RSU2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-09 11:32:55","2024-06-09 11:49:21","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021200","B03103","สาขา เสนานิเวศน์ 2","BE","BE2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-07 21:16:12","2024-06-07 21:52:51","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021302","B03395","สาขา โรงพยาบาลนครพนม","NEU","NEU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-09 10:51:51","2024-06-09 11:16:31","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021303","B03396","สาขา ตลาดไทยศิริ","NEU","NEU4SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 10:12:22","2024-06-08 11:41:45","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021422","B03729","สาขา สาย 3 ซอย 9","REL","REL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-10 17:20:26","2024-06-10 18:01:56","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021510","B03950","สาขา หมู่บ้านธนวรรณ","BE","BE1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-11 23:08:43","2024-06-11 23:39:53","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021697","B04453","สาขา หมู่บ้านศรีเพชร ซอย 11","BG","BG8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-10 02:55:36","2024-06-10 04:42:39","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021829","B04710","สาขา ศุภฤกษ์","BE","BE6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-10 21:58:48","2024-06-10 22:19:23","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022012","B05225","สาขา ตลาดโต้รุ่งพังโคน","NEU","NEU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-11 10:22:50","2024-06-11 13:27:10","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022023","B05242","สาขา ปตท.หนองเรือ","NEU","NEU1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-10 16:01:41","2024-06-10 16:25:05","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022105","B05428","สาขา ตลาดประตูล้อ","RN","RN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 11:43:16","2024-06-08 12:41:55","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022108","B05435","สาขา แม่น้ำคู้(ปลวกแดง)","REL","REL4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 00:12:50","2024-06-08 00:55:15","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022176","B05590","สาขา ถนนเจริญรัฐ","NEU","NEU3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 12:13:22","2024-06-08 16:40:01","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022224","B05678","สาขา โรงแรมอัศวรรณ","NEU","NEU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-09 10:13:48","2024-06-09 11:50:03","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022309","B05857","สาขา ตลาดไทศิริ 2","NEU","NEU4SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 12:40:01","2024-06-08 14:31:20","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022376","B06030","สาขา ลาดพร้าว 34","BE","BE6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-10 21:08:23","2024-06-10 21:24:44","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022390","B06059","สาขา เฟื่องสุข 4","BN","BN8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-10 00:24:14","2024-06-10 00:44:11","ระบุปัญหาที่พบ (ถ้ามี)","_"
"ตรงแผน","520004022476","B06255","สาขา ดอนคา","RC","RC4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-11 13:06:11","2024-06-11 15:46:36","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022562","B06401","สาขา เคหะคลองหลวง จุด 2","BN","BN6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-10 11:44:59","2024-06-10 12:54:34","ระบุปัญหาที่พบ (ถ้ามี)",""
"ยังไม่เข้า","520004022592","B06485","สาขา พรประภานิมิตร ซอย 22","REL","REL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-11 16:06:44","2024-06-11 16:11:34","ระบุปัญหาที่พบ (ถ้ามี)","ไม่สามารถล้างถังได้เนื่องจาก​ ท่อน้ำทิ้งรั่วลงพื้นที่ขาย"
"ตรงแผน","520004022647","B06652","สาขา อู่ทอง 3","RC","RC4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-11 10:09:12","2024-06-11 10:42:18","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022682","B06693","สาขา นวมินทร์ 98","BE","BE5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-07 11:01:43","2024-06-07 11:20:41","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022713","B06760","สาขา สี่แยกจรัสเมือง จุด2","BW","BW1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-07 23:56:22","2024-06-08 00:07:54","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022847","B07053","สาขา พรีเมี่ยมเพลส จุด 2","BE","BE2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 01:10:25","2024-06-08 02:02:15","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022877","B07113","สาขา ปตท.พรรณานิคม","NEU","NEU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 10:49:09","2024-06-08 13:21:25","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022879","B07114","สาขา ปตท.พังโคน 2","NEU","NEU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 14:33:22","2024-06-08 16:17:53","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022940","B07252","สาขา เทพารักษ์ กม.15","BS","BS9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 20:44:49","2024-06-08 21:02:39","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023019","B07498","สาขา ศูนย์อาหาร รพ.นครพนม","NEU","NEU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-09 11:40:03","2024-06-09 12:42:56","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023048","B07588","สาขา วิเศษสุขนคร โครงการ 16","BS","BS2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-06 23:54:15","2024-06-07 00:56:04","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023072","B07638","สาขา ขามเจริญ","NEU","NEU1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-10 11:50:26","2024-06-10 12:42:07","ระบุปัญหาที่พบ (ถ้ามี)","ไม่มี"
"ตรงแผน","520004023098","B07741","สาขา อรุณรังษี (หนองคาย)","NEU","NEU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-10 12:31:24","2024-06-10 13:51:43","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023112","B07769","สาขา เพชรเกษม 67/1","BW","BW5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-09 04:39:57","2024-06-09 05:19:07","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023113","B07771","สาขา ม.เฟรนชิฟ (รามอินทรา 14 )","BE","BE2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 03:19:56","2024-06-08 04:19:54","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023128","B07811","สาขา คลองหอยโข่ง","RSL","RSL6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-11 17:06:48","2024-06-11 17:37:06","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023220","B08028","สาขา นากลาง","NEU","NEU4SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 16:29:58","2024-06-08 17:49:14","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023246","B08065","สาขา ปตท.รังสิต-ติวานนท์ (ซ่อมสร้าง)","BN","BN5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-07 03:35:13","2024-06-07 04:08:20","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023252","B08069","สาขา ประตูม้า","RN","RN3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-09 09:05:24","2024-06-09 09:46:23","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023289","B08125","สาขา ปตท.หินกอง - ภาชี (หนองแค)","RC","RC8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-11 03:09:30","2024-06-11 03:41:16","ระบุปัญหาที่พบ (ถ้ามี)","เข้ทำการล้างถังไม่ได้เนื่องจากทางปั้มล็อกกุเเจทางเข้าถังน้ำไว้"
"ตรงแผน","520004023400","B08375","สาขา ม.ราชภัฏพระนคร","BE","BE1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-11 17:56:59","2024-06-11 18:28:10","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023427","B08420","สาขา ชัยพฤกษ์สาย 2 จุด 2","REL","REL3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-10 17:46:44","2024-06-10 18:15:22","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020298","B08580","สาขา ปตท.อู่ทอง-ด่านช้าง","RC","RC4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-10 14:57:50","2024-06-10 15:38:54","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020333","B08651","สาขา ตลาดท่าวังทอง","RN","RN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 13:00:00","2024-06-08 13:20:24","ระบุปัญหาที่พบ (ถ้ามี)","ไม่มี"
"ตรงแผน","520004020348","B08696","สาขา สมาร์ท สวีท","BW","BW2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 22:38:40","2024-06-08 22:54:48","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020458","B08913","สาขา ปตท.ฉัตรเจริญหนองสองห้อง","NEU","NEU1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 14:00:36","2024-06-08 14:26:04","ระบุปัญหาที่พบ (ถ้ามี)","ไม่มี"
"ตรงแผน","520004020541","B09054","สาขา เจโมพลาซ่า","BS","BS7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-06 11:27:55","2024-06-06 12:30:02","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020630","B09213","สาขา มรภ.นครสวรรค์","RC","RC1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 10:59:16","2024-06-08 11:54:31","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020675","B09323","สาขา ปตท.เมืองนครพนม","NEU","NEU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-09 13:22:53","2024-06-09 14:45:34","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020685","B09349","สาขา ชัยพฤกษ์ (หนองหิน)","REL","REL3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-10 17:21:24","2024-06-10 17:35:02","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020688","B09363","สาขา ศรีวิไล","NEU","NEU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-05 16:27:13","2024-06-05 17:24:47","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020871","B09830","สาขา นวมินทร์ 86 (PLUM CONDO)","BE","BE5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-07 11:36:43","2024-06-07 11:54:29","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020912","B09936","สาขา เคหะสมุทรสาคร ระยะ 1","BW","BW8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-10 01:03:28","2024-06-10 01:54:49","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020973","B10095","สาขา SJ INFINITE 1(พหล-วิภา)","BN","BN9","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-10 12:26:43","2024-06-10 13:18:34","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020992","B10133","สาขา เด่นชัย (คลองอาเสี่ย)","BS","BS9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-11 11:21:23","2024-06-11 12:26:35","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021004","B10156","สาขา บางปลา 3","BS","BS9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-09 01:20:58","2024-06-09 05:10:44","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021145","B10477","สาขา ปตท.มัยลาภ","BE","BE2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 02:23:21","2024-06-08 02:50:45","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021152","B10484","สาขา ภูกามยาว","RN","RN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 14:42:21","2024-06-08 15:26:26","ระบุปัญหาที่พบ (ถ้ามี)","ไม่มี"
"ตรงแผน","520004021190","B10560","สาขา BB TOWN","BS","BS2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-06 01:47:23","2024-06-06 02:37:46","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021210","B10591","สาขา ชุมชนหนองสองห้อง","NEU","NEU1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 13:24:07","2024-06-08 13:31:20","ระบุปัญหาที่พบ (ถ้ามี)","ไม่มี"
"ตรงแผน","520004021315","B10796","สาขา ทองแสนขัน","RN","RN4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-09 14:13:56","2024-06-09 15:18:39","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021320","B10813","สาขา ปตท.ม.แม่โจ้","RN","RN1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 12:25:34","2024-06-08 14:08:29","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021333","B10836","สาขา จรัญสนิทวงศ์ 45 แยก 14","BG","BG1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-07 23:45:37","2024-06-08 00:15:21","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021397","B10963","สาขา นิรันดร์วิลล์ 10 (ศรีวารีน้อย)","BS","BS8","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-06 22:46:18","2024-06-06 23:38:24","ระบุปัญหาที่พบ (ถ้ามี)","ไม่มี"
"ตรงแผน","520004021404","B10978","สาขา ชุมชนลำภู","NEU","NEU4SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 10:22:10","2024-06-08 12:32:57","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021483","B11144","สาขา MAJOR TOWER(ทองหล่อ 10)","BS","BS3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 03:39:56","2024-06-08 04:30:26","ระบุปัญหาที่พบ (ถ้ามี)","เรียบร้อย"
"ตรงแผน","520004021520","B11210","สาขา ปตท.ถนนแพรกษา NEW LOOK","BS","BS9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-11 04:00:43","2024-06-11 04:05:53","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021524","B11221","สาขา ปตท.แม่น้ำคู้(ระยอง)","REL","REL4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 03:19:40","2024-06-08 03:47:17","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021556","B11282","สาขา นาวัง","NEU","NEU4SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 13:58:56","2024-06-08 15:57:10","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021567","B11304","สาขา ชุมชนยุทธศาสตร์","RSL","RSL11SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 12:19:06","2024-06-08 13:03:02","ระบุปัญหาที่พบ (ถ้ามี)","-"
"ตรงแผน","520004021598","B11392","สาขา เพชรตระกูล (พาเลสโต้ แกรนโฮเทล)","REL","REL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-10 14:19:37","2024-06-10 15:08:59","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021750","B11657","สาขา สามชัย","NEU","NEU6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-09 17:26:40","2024-06-09 19:11:12","ระบุปัญหาที่พบ (ถ้ามี)","ไม่มี"
"ตรงแผน","520004021801","B11762","สาขา ปตท.LPG เขาไร่ยา(จันทบุรี)","REL","REL6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-09 10:27:22","2024-06-09 10:43:51","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021835","B11822","สาขา ม.เศรษฐพงศ์ (ลาดปลาดุก)","BG","BG5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-09 02:33:11","2024-06-09 02:41:37","ระบุปัญหาที่พบ (ถ้ามี)","ปกติ"
"ตรงแผน","520004021841","B11827","สาขา บ้านใหม่","RN","RN5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 11:04:08","2024-06-08 11:45:10","ระบุปัญหาที่พบ (ถ้ามี)","ปกติ"
"ตรงแผน","520004021952","B12072","สาขา ปตท.สวนดอก","RN","RN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 12:53:40","2024-06-08 13:31:21","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021990","B13001","สาขา ถนนสงขลา-นาทวี","RSL","RSL5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 11:25:25","2024-06-08 17:40:16","ระบุปัญหาที่พบ (ถ้ามี)","ไม่มี"
"ตรงแผน","520004021997","B13010","สาขา ปตท.ร่มเกล้า-สุวรรณภูมิ","BE","BE7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-07 01:12:02","2024-06-07 01:32:10","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022004","B13022","สาขา บ้านใหญ่-สิริโสธร","REU","REU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-07 18:22:18","2024-06-07 19:33:06","ระบุปัญหาที่พบ (ถ้ามี)",""
