สถานะการเข้างาน,หมายเลขงาน,รหัสร้าน,ชื่อร้าน,โซน,ทีม,สัญญา,ผู้รับผิดชอบงาน,แผนเข้างาน,เวลาเริ่มงาน,เวลาปิดงาน
"ยังไม่เข้า","520004086539","B02178","เพชรเกษม 56 (BW)","BW","BW5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-26","",""
"ยังไม่เข้า","520004086541","B02193","งามวงศ์วาน 18 (BN)","BN","BN9","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","",""
"ยังไม่เข้า","520004086543","B02197","ไนท์สแควร์ (REL)","REL","REL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-11","",""
"ยังไม่เข้า","520004086544","B02199","บขส.เสนา (RC)","RC","RC6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-18","",""
"ยังไม่เข้า","520004086545","B02200","บ้านสร้าง (RC)","RC","RC7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-17","",""
"ยังไม่เข้า","520004086547","B02205","ชุมชนสะเดียง (RC)","RC","RC10SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-06","",""
"ยังไม่เข้า","520004086548","B02207","บ้านสวนรุ่งโรจน์ (REL)","REL","REL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-02","",""
"ยังไม่เข้า","520004086551","B02212","เล้งกี่ (บัวขาว) (REL)","REL","REL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-07","",""
"ยังไม่เข้า","520004086552","B02215","ประชาร่วมมิตร (BN)","BN","BN1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-29","",""
"ยังไม่เข้า","520004086553","B02222","ชุมชนซอยต้นไทร (RC)","RC","RC6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-05","",""
"ยังไม่เข้า","520004086554","B02229","สาย 3 ซอย 13 (REL)","REL","REL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-14","",""
"ยังไม่เข้า","520004086555","B02235","คลองลานพัฒนา (RN)","RN","RN7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-21","",""
"ยังไม่เข้า","520004086556","B02240","คลองรั้ง (REU)","REU","REU6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-23","",""
"ยังไม่เข้า","520004086559","B02244","ชุมชนวัดราชประดิษฐาน (RC)","RC","RC6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-11","",""
"ยังไม่เข้า","520004086561","B02250","ดงตาล (จอมเทียน) (REL)","REL","REL3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ยังไม่เข้า","520004086563","B02257","สุภาพงษ์ 2 (BS)","BS","BS5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-17","",""
"ยังไม่เข้า","520004086565","B02261","เพชรเกษม 65 (BW)","BW","BW5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-08","",""
"ยังไม่เข้า","520004086569","B02274","แจ้งวัฒนะ 15 (BN)","BN","BN3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","",""
"ยังไม่เข้า","520004086573","B02303","สุขสมจิตต์ (REL)","REL","REL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-10","",""
"ยังไม่เข้า","520004086574","B02306","วงเวียนน้ำพุ (กาฬสินธุ์) (NEU)","NEU","NEU6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-22","",""
"ยังไม่เข้า","520004086575","B02308","เอื้ออมรสุข (พระราม 4) (BS)","BS","BS3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-17","",""
"ยังไม่เข้า","520004086577","B02318","รังสิตคลอง 10 (BE)","BE","BE9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-10","",""
"ยังไม่เข้า","520004086578","B02319","เทศบาลสัตหีบ (REL)","REL","REL3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-23","",""
"ยังไม่เข้า","520004086579","B02322","ปตท.เฉลิมพระเกียรติ (ชอุ่ม) (BS)","BS","BS4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-20","",""
"ยังไม่เข้า","520004086580","B02331","ตลาดทุ่งเจริญ (NEL)","NEL","NEL8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-17","",""
"ยังไม่เข้า","520004086581","B02334","ประดิพัทธ์ 10 (BN)","BN","BN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-17","",""
"ยังไม่เข้า","520004086582","B02335","ชาญเวชกิจ (RN)","RN","RN5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","",""
"ยังไม่เข้า","520004086584","B02337","ปตท.คลองหนองใหญ่ (BW)","BW","BW5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-25","",""
"ยังไม่เข้า","520004086585","B02339","ศรีโสธรตัดใหม่ (REU)","REU","REU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-03","",""
"ตรงแผน","520004086589","B02350","ชายหาดพัทยากลาง (REL)","REL","REL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-02","2024-07-02 20:05:18","2024-07-02 20:43:41"
"ยังไม่เข้า","520004086590","B02356","สมบัติบุรี (BN)","BN","BN8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-18","",""
"ยังไม่เข้า","520004086592","B02358","เฉลิมพระเกียรติ ซอย 21 (REL)","REL","REL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-30","",""
"ยังไม่เข้า","520004086597","B02368","ทะเลทอง (REU)","REU","REU1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-27","",""
"ยังไม่เข้า","520004086600","B02372","บขส.กบินทร์บุรี (REU)","REU","REU6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-18","",""
"ยังไม่เข้า","520004086601","B02373","ปตท.ท่าถ่าน (REU)","REU","REU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-25","",""
"ยังไม่เข้า","520004086603","B02381","ดำรงรักษ์ (BW)","BW","BW1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-04","",""
"ยังไม่เข้า","520004086607","B02392","บ้านอ่าวนาง (RSL)","RSL","RSL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-11","",""
"ยังไม่เข้า","520004086608","B02402","ปตท.สุขุมวิทสายเก่า กม.28 (สมจิตร 2) (BS)","BS","BS9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-22","",""
"ยังไม่เข้า","520004086609","B02410","หลังมหาวิทยาลัยนเรศวร (RN)","RN","RN5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-06","",""
"ยังไม่เข้า","520004086612","B02416","สุทธาวาส (REL)","REL","REL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-31","",""
"ยังไม่เข้า","520004086614","B02426","นานาเหนือ (สุขุมวิท 3) (BW)","BW","BW2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-06","",""
"ยังไม่เข้า","520004086618","B02441","จะนะ (RSL)","RSL","RSL6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","",""
"ยังไม่เข้า","520004086620","B02453","อนุมานราชธน (BW)","BW","BW1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ยังไม่เข้า","520004086622","B02457","ประสานมิตร (BW)","BW","BW2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-26","",""
"ยังไม่เข้า","520004086624","B02464","สามเสน 18 (BN)","BN","BN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-28","",""
"ยังไม่เข้า","520004086625","B02465","เมืองทองคอนโด จุด 5 (BN)","BN","BN4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-16","",""
"ยังไม่เข้า","520004086626","B02474","ปตท.อุทัยธานี (RC)","RC","RC2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-27","",""
"ยังไม่เข้า","520004086627","B02475","เฉลิมพระเกียรติ 14 (BS)","BS","BS4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-22","",""
"ยังไม่เข้า","520004086631","B02493","สุขุมวิท 93 ( พึ่งมี 50 ) (BS)","BS","BS5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-05","",""
"ยังไม่เข้า","520004086633","B02499","ตลาดเอกเซ็นเตอร์ (RC)","RC","RC6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-26","",""
"ยังไม่เข้า","520004086635","B02500","สถานีตำรวจอยุธยา (RC)","RC","RC6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","",""
"ยังไม่เข้า","520004086637","B02506","วิเชียรโชฎก (BW)","BW","BW8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-31","",""
"ยังไม่เข้า","520004086638","B02509","หมู่บ้านเมืองประชา (BN)","BN","BN7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-22","",""
"ยังไม่เข้า","520004086640","B02518","PTTORทางหลวงพิเศษชลบุรี (ขาเข้า) (REU)","REU","REU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-18","",""
"ยังไม่เข้า","520004086641","B02519","PTTORทางหลวงพิเศษชลบุรี (ขาออก) (REU)","REU","REU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-17","",""
"ยังไม่เข้า","520004086643","B02526","สุทธิพร 2 (BN)","BN","BN1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-14","",""
"ยังไม่เข้า","520004086645","B02531","คลองนิล (RSL)","RSL","RSL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-15","",""
"ยังไม่เข้า","520004086646","B02536","เคหะแหลมฉบัง (REL)","REL","REL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-16","",""
"ยังไม่เข้า","520004086648","B02542","พระแอะ (RSL)","RSL","RSL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-15","",""
"ยังไม่เข้า","520004086651","B02552","นิรันดร์เรสซิเดนท์ จุด 2 (BS)","BS","BS5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-08","",""
"ยังไม่เข้า","520004086653","B02554","แยกมไหสวรรย์ (BS)","BS","BS1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ยังไม่เข้า","520004086654","B02555","ปตท.ภาชี (อยุธยา) (RC)","RC","RC7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-26","",""
"ยังไม่เข้า","520004086655","B02556","ม.มหาสารคาม (NEU)","NEU","NEU6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-27","",""
"ยังไม่เข้า","520004086656","B02562","เศรษฐกิจอ้อมน้อย (BW)","BW","BW9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-06","",""
"ตรงแผน","520004086657","B02563","ธนาเพลสกิ่งแก้ว (BS)","BS","BS8","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-02","2024-07-02 22:38:37","2024-07-02 23:53:39"
"ยังไม่เข้า","520004086658","B02567","วิภาวดี 2/2 (BN)","BN","BN1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-11","",""
"ยังไม่เข้า","520004086659","B02574","ม.นเรศวร (ประตู 1) (RN)","RN","RN5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-04","",""
"ยังไม่เข้า","520004086660","B02579","ศรีสยาม (BS)","BS","BS2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-02","",""
"ยังไม่เข้า","520004086663","B02594","วังทอง (RN)","RN","RN5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-18","",""
"ตรงแผน","520004086668","B02638","ชุมชนจันทร์ใน (BS)","BS","BS1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-05","2024-07-02 14:22:35","2024-07-02 14:39:51"
"ยังไม่เข้า","520004086669","B02652","คลองท่าเสา (BW)","BW","BW9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-05","",""
"ยังไม่เข้า","520004086670","B02656","ปตท.สหกรณ์บางละมุง (REL)","REL","REL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-25","",""
"ยังไม่เข้า","520004086674","B02673","บางม่วง-บางคูลัดสาย 1 (BG)","BG","BG7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-04","",""
"ยังไม่เข้า","520004086675","B02676","เทศบาลนิมิตรเหนือ (BN)","BN","BN9","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-27","",""
"ยังไม่เข้า","520004086676","B02678","ชุมชนวัดเสนาส (RC)","RC","RC6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-10","",""
"ยังไม่เข้า","520004086678","B02679","นิรันดร์เรสซิเด้นท์ จุด 3 (ยงเจริญ) (BS)","BS","BS5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-08","",""
"ยังไม่เข้า","520004086682","B02696","มาบยายเลียซอย 6 (REL)","REL","REL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-20","",""
"ยังไม่เข้า","520004086683","B02712","เจริญนคร 9 (BW)","BW","BW3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ยังไม่เข้า","520004086686","B02722","จอมเทียน ซอย 5 (REL)","REL","REL3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ยังไม่เข้า","520004086692","B02746","วังน้ำเย็น (REU)","REU","REU6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-12","",""
"ยังไม่เข้า","520004086695","B02749","ชุมชนวัดโคกมะยม (RC)","RC","RC7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-10","",""
"ยังไม่เข้า","520004086699","B02755","สวนอุตสาหกรรมโรจนะ 2 (RC)","RC","RC7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-06","",""
"ยังไม่เข้า","520004086701","B02760","เคหะชุมชนเพชรบูรณ์ (RC)","RC","RC10SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-21","",""
"ตรงแผน","520004086702","B02771","แยก รพ.เมืองสมุทร (BS)","BS","BS9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-01","2024-07-02 02:10:14","2024-07-02 02:30:23"
"ยังไม่เข้า","520004086703","B02774","โรงพยาบาลเปาโล (BN)","BN","BN1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-11","",""
"ยังไม่เข้า","520004086704","B02778","ถนนวิจิตร (RSL)","RSL","RSL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-07","",""
"ยังไม่เข้า","520004086705","B02782","ปตท.ทุ่งกวาว (RN)","RN","RN4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-05","",""
"ยังไม่เข้า","520004086707","B02798","มหาราช 2 (RSL)","RSL","RSL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-05","",""
"ยังไม่เข้า","520004086709","B02806","สราญรมย์ (BW)","BW","BW4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-05","",""
"ยังไม่เข้า","520004086710","B02808","ซอยคุณหญิงเลี่ยม (BS)","BS","BS8","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ยังไม่เข้า","520004086711","B02811","พระอินทร์หัตถกิจ (RC)","RC","RC7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-12","",""
"ยังไม่เข้า","520004086712","B02812","ตลาดเหนือ (RN)","RN","RN6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","",""
"ยังไม่เข้า","520004086714","B02816","โรงพยาบาลกรุงเทพพัทยา (REL)","REL","REL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-12","",""
"ยังไม่เข้า","520004086718","B02829","หน้า ม.ราชภัฏโคราช (NEL)","NEL","NEL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-25","",""
"ยังไม่เข้า","520004086719","B02842","สุขุมวิท พัทยาซอย 21 (REL)","REL","REL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-26","",""
"ยังไม่เข้า","520004086721","B02851","เรืองไทยแมนชั่น (BS)","BS","BS9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-15","",""
"ยังไม่เข้า","520004086722","B02853","พะเนียง (BG)","BG","BG2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-02","",""
"ยังไม่เข้า","520004086728","B02892","บขส.หาดใหญ่ (RSL)","RSL","RSL6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-04","",""
"ตรงแผน","520004086729","B02896","ตลาดอุดมเดช (BS)","BS","BS9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-01","2024-07-01 23:12:12","2024-07-02 00:04:21"
"ยังไม่เข้า","520004086731","B02900","พระปิ่น 5 (BW)","BW","BW6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-19","",""
"ยังไม่เข้า","520004086733","B02902","สถานีรถไฟพิษณุโลก (RN)","RN","RN5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-30","",""
