สถานะการเข้างาน,หมายเลขงาน,รหัสร้าน,ชื่อร้าน,โซน,ทีม,สัญญา,ผู้รับผิดชอบงาน,แผนเข้างาน,เวลาเริ่มงาน,เวลาปิดงาน,ข้อเสนอแนะ,ข้อเสนอแนะเพิ่มเติม
"ตรงแผน","520004021763","B04571","สาขา หมู่บ้านสวัสดิการ กทม.","BN","BN3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-05 05:37:13","2024-06-05 06:25:44","ระบุปัญหาที่พบ (ถ้ามี)","-"
"ตรงแผน","520004021810","B04674","สาขา เจริญกรุง 70","BW","BW3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-04 00:02:24","2024-06-04 00:49:43","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021812","B04677","สาขา พหลโยธิน 33","BE","BE1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-05 00:06:33","2024-06-05 00:31:31","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022274","B05747","สาขา รพ.เชียงราย 2","RN","RN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-02 16:54:13","2024-06-02 17:11:48","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022411","B06102","สาขา รพ.พะเยา 2","RN","RN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-02 09:55:57","2024-06-02 10:29:54","ระบุปัญหาที่พบ (ถ้ามี)","ไม่มี"
"ตรงแผน","520004022831","B07018","สาขา ตลาดวังสะพุง","NEU","NEU3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-02 10:04:22","2024-06-02 12:50:57","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022897","B07168","สาขา โรงพยาบาลเชียงราย","RN","RN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-02 11:30:12","2024-06-02 11:59:14","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022980","B07337","สาขา ถนนเลียบสันติสุข","RC","RC8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-04 03:34:23","2024-06-04 08:27:41","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023029","B07519","สาขา เคหะบางพลี ซอย C3","BS","BS9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-03 01:00:19","2024-06-03 01:23:42","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023090","B07682","สาขา ราชภัฎสุราษฎร์ (วิทยาเขตสมุย)","RSU","RSU2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-03 09:35:56","2024-06-03 10:18:15","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023185","B07927","สาขา ลาดปลาเค้า 25","BE","BE2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-03 17:27:19","2024-06-03 18:42:33","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023367","B08295","สาขา เมืองใหม่บางพลี โครงการ 2","BS","BS9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-04 00:58:12","2024-06-04 01:44:08","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023383","B08352","สาขา พหลโยธิน 35 (กลางซอย )","BE","BE1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-05 00:06:55","2024-06-05 01:07:32","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023403","B08382","สาขา สายไหม 23/1","BE","BE8","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-05 22:29:54","2024-06-05 23:10:35","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020431","B08868","สาขา นาจอมเทียน ซ.7 (แิอมบาสเดอร์ )","REL","REL3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-03 12:52:49","2024-06-03 13:25:10","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020607","B09188","สาขา สี่แยกบ่อนไก่ จุด 2","RSU","RSU2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-04 13:10:07","2024-06-04 14:12:55","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020716","B09426","สาขา ทานสัมฤทธิ์ 3","BN","BN3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-05 07:28:28","2024-06-06 01:08:30","ระบุปัญหาที่พบ (ถ้ามี)","-"
"ตรงแผน","520004020738","B09489","สาขา เคหะบางพลี ซ.C4","BS","BS9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-02 22:53:38","2024-06-02 23:10:30","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020775","B09559","สาขา LPN ลาดปลาเค้า","BE","BE2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-03 19:02:16","2024-06-03 19:55:14","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021037","B10256","สาขา เคหะนาจอมเทียน","REL","REL3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-04 13:01:02","2024-06-04 13:20:03","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021725","B11608","สาขา ปตท.ปากน้ำชุมพร (COMPACT)","RSU","RSU3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-03 13:42:42","2024-06-03 15:31:39","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021809","B11777","สาขา เอื้ออาทรนาจอมเทียน","REL","REL3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-04 13:26:15","2024-06-04 14:34:10","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022076","B13154","สาขา พหลโยธิน 35 แยก 17","BE","BE1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-05 19:02:23","2024-06-05 19:55:50","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022098","B13219","สาขา หน้าสวนนกชัยนาท","RC","RC2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-02 13:40:37","2024-06-02 15:02:59","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022179","B13394","สาขา ซอยในยาง 16","RSL","RSL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-02 10:46:17","2024-06-02 11:28:30","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022755","B14419","สาขา แยกหลัง รพ.เชียงราย","RN","RN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-02 13:45:15","2024-06-02 14:28:02","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022850","B14575","สาขา ร้านค้าสวัสดิการ บก.ทบ.","BN","BN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-02 09:25:46","2024-06-02 10:24:31","ระบุปัญหาที่พบ (ถ้ามี)","ปกติ"
"ตรงแผน","520004023063","B15025","สาขา อาคารนวมินทรบพิต 84 พรรษา","BG","BG2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-02 05:22:12","2024-06-02 08:14:22","ระบุปัญหาที่พบ (ถ้ามี)","ปกติ"
"ตรงแผน","520004023171","B15236","สาขา PTTOR ธรรมามูล","RC","RC2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-02 15:17:25","2024-06-02 16:05:07","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023284","B15446","สาขา ตลาด เอ ซี สายไหม จุด 2","BE","BE8","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-05 00:45:11","2024-06-05 03:19:16","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004026845","B16987","ถนนสนามบินเก่า","RN","RN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-02 15:08:54","2024-06-02 15:59:33","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004026815","B17009","ชุมชนหนองขาว","RSU","RSU7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-01 17:54:24","2024-06-01 19:15:01","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004029811","B17559","ธิตะจารี","RN","RN7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-02 13:18:12","2024-06-02 14:29:21","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004031055","B17821","อัสสัมชัญ ราชพิพัฒน์","BW","BW5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-03 00:25:35","2024-06-03 00:51:28","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004033274","B18233","ถนนเลียบ ม.นเรศวร (RN)","RN","RN5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-02 10:26:33","2024-06-02 11:40:22","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004036970","B18787","รามอินทรา 19 แยก 1 (BE)","BE","BE2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-01 14:49:48","2024-06-01 15:32:34","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004064960","B02564","สาขา สันโค้ง","RN","RN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-02 10:11:41","2024-06-02 10:40:42","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004064966","B05178","สาขา หน้า รพ.นครพนม","NEU","NEU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-02 13:31:08","2024-06-02 15:16:17","ระบุปัญหาที่พบ (ถ้ามี)",""
