สถานะการเข้างาน,หมายเลขงาน,รหัสร้าน,ชื่อร้าน,โซน,ทีม,สัญญา,ผู้รับผิดชอบงาน,แผนเข้างาน,เวลาเริ่มงาน,เวลาปิดงาน,ข้อเสนอแนะ,ข้อเสนอแนะเพิ่มเติม
"ตรงแผน","520004020719","B01449","สาขา เจริญนคร 14","BW","BW3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-10 02:34:57","2024-06-10 03:17:07","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020909","B02146","สาขา ประชาสงเคราะห์ 21","BN","BN1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-10 02:04:48","2024-06-10 02:16:34","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021110","B02867","สาขา แม่กา (ม.พะเยา)","RN","RN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-09 11:36:32","2024-06-09 11:44:03","ระบุปัญหาที่พบ (ถ้ามี)","ไม่มี"
"ตรงแผน","520004021395","B03645","สาขา วุฒากาศ 27","BW","BW4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-12 03:58:40","2024-06-12 04:22:22","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021498","B03925","สาขา พหลโยธิน 66 (KS)","BE","BE1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-11 02:15:51","2024-06-11 02:32:31","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021935","B04972","สาขา สามแยกบางรักษ์","RSU","RSU2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-11 19:28:35","2024-06-13 01:10:10","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022299","B05797","หน้า รพ.อุตรดิตถ์","RN","RN4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-08 12:39:39","2024-06-08 13:15:32","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022435","B06161","สาขา เฉวงน้อย","RSU","RSU2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-10 11:11:17","2024-06-10 11:33:19","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022441","B06175","สาขา วิภาวดี 76","BE","BE1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-11 03:34:32","2024-06-11 03:59:58","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022497","B06301","สาขา รีเจ้นท์โฮม 15 แจ้งวัฒนะ","BE","BE1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-12 03:19:16","2024-06-12 04:00:46","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022619","B06597","สาขา สวนรมณีนาถ","BG","BG2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-11 21:59:51","2024-06-11 23:41:01","ระบุปัญหาที่พบ (ถ้ามี)","ปกติ"
"ตรงแผน","520004022874","B07109","สาขา บงกช ซอย 3","REL","REL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-11 18:15:12","2024-06-11 19:26:57","ระบุปัญหาที่พบ (ถ้ามี)","-"
"ตรงแผน","520004022961","B07300","สาขา ชุมชนท่าอิฐ","RN","RN4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-09 09:42:00","2024-06-09 10:41:04","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023204","B07993","สาขา ชุมชนห้วยใหญ่","REL","REL3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-12 18:04:13","2024-06-12 18:42:46","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023334","B08216","สาขา สามแยกดอนไชย","RN","RN3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-07 15:25:32","2024-06-07 16:22:54","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023395","B08368","สาขา สาธุประดิษฐ์ 34","BS","BS1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-11 00:24:58","2024-06-11 00:27:01","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020349","B08697","สาขา THE PARKLAND (ท่าพระ)","BW","BW4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-10 01:51:38","2024-06-10 03:21:20","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020395","B08790","สาขา ประชาราษฏร์สาย 1 ซอย 10","BN","BN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-09 22:43:15","2024-06-09 23:19:01","ระบุปัญหาที่พบ (ถ้ามี)","ปกติ"
"ตรงแผน","520004020403","B08810","สาขา รุ้งแลนด์กอไผ่","REL","REL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-11 17:07:17","2024-06-11 18:02:48","ระบุปัญหาที่พบ (ถ้ามี)","-"
"ตรงแผน","520004020451","B08906","สาขา สาธุประดิษฐ์ 45","BS","BS1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-11 00:07:22","2024-06-11 00:11:13","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020517","B08997","สาขา รพ.บึงกาฬ","NEU","NEU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-08 11:36:48","2024-06-08 12:14:04","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020563","B09105","สาขา ตลาดนัดเพชรเกษม 4","BW","BW4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-10 00:09:42","2024-06-10 00:49:52","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020565","B09112","สาขา กอไผ่ ซอย 1","REL","REL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-11 15:37:13","2024-06-11 16:58:17","ระบุปัญหาที่พบ (ถ้ามี)","-"
"ตรงแผน","520004020597","B09175","สาขา หน้า ม.พะเยา","RN","RN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-11 11:07:17","2024-06-11 12:00:06","ระบุปัญหาที่พบ (ถ้ามี)","ไม่มี"
"ตรงแผน","520004020910","B09928","สาขา ตลาดจำเริญยนต์","RN","RN3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-07 13:12:14","2024-06-07 15:00:27","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021006","B10158","สาขา หน้า ร.พ.กรุงเทพสมุย","RSU","RSU2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-10 12:18:18","2024-06-10 12:33:58","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021652","B11497","สาขา วิช สามย่าน","BW","BW3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-11 01:50:05","2024-06-11 02:28:50","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021755","B11668","สาขา นิคมพัฒนา ซ.8","REL","REL4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-07 21:11:19","2024-06-07 22:48:04","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021770","B11697","สาขา ปตท.ค่ายอดิศร","RC","RC8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-11 07:01:36","2024-06-11 07:30:46","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021995","B13005","สาขา R12เกตเวย์","NEU","NEU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-11 15:40:13","2024-06-11 16:52:54","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022125","B13263","สาขา ปตท.หนองหิน","NEU","NEU3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-09 10:46:54","2024-06-09 14:44:46","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022365","B13722","สาขา ท้ายสำเภา","RSL","RSL11SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-07 15:03:06","2024-06-07 15:36:45","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022440","B13846","สาขา ห้วยใหญ่ เทศบาล ซ.17","REL","REL3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-12 18:00:16","2024-06-12 19:37:19","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004022524","B14000","สาขา ไนท์หนองคาย","NEU","NEU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-09 12:09:55","2024-06-09 13:22:35","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023082","B15057","สาขา ศรีวิชัย 26","RSU","RSU1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-09 11:59:25","2024-06-09 12:28:35","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023210","B15336","สาขา เดอะคอนเนคบางโฉลง","BS","BS9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-09 22:55:51","2024-06-10 00:08:49","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023214","B15345","สาขา ขุนทะเล","RSL","RSL11SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-06 14:53:07","2024-06-06 15:49:04","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023349","B15565","สาขา ร้านสวัสดิการ รพ.เมตตาประชารักษ์ (ว","BG","BG4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-09 09:31:04","2024-06-09 11:02:04","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023392","B15646","สาขา ลาดพร้าว 124 แยก 9","BE","BE3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-12 23:22:11","2024-06-13 00:04:18","ระบุปัญหาที่พบ (ถ้ามี)","ปกติ"
"ตรงแผน","520004023471","B15889","สาขา PLUM CONDO แจ้งวัฒนะ เฟส 1","BE","BE1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-12 04:33:29","2024-06-12 04:57:40","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023472","B15890","สาขา รีเจนท์โฮม 18 แจ้งวัฒนะ","BE","BE1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-12 03:18:44","2024-06-12 04:18:39","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023526","B16096","สาขา ถนนเทศบาลห้วยใหญ่ ซอย 27","REL","REL3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-12 18:48:25","2024-06-12 19:10:26","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023532","B16111","สาขา ร้านค้าสวัสดิการกรมทหารม้าที่ 4 รัก","RC","RC8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-12 02:14:10","2024-06-12 02:58:33","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023550","B16151","สาขา KNIGHTS BRIDGE PHAHOLYOTHIN INTERCH","BE","BE1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-12 03:18:19","2024-06-12 03:41:21","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004023591","B16348","SE เลี่ยงเมืองปากเกร็ด 37 จุด 2","BN","BN3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-12 03:18:45","2024-06-12 04:03:48","ระบุปัญหาที่พบ (ถ้ามี)","-"
"ตรงแผน","520004023654","B16631","SE แยกบ้านควน","RSL","RSL10SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-09 10:15:49","2024-06-09 12:30:47","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004026795","B17068","ตลาดลำลูกกา","BE","BE1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-10 23:32:37","2024-06-11 02:11:09","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004029795","B17551","หินปัก(บ้านหมี่)","RC","RC5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-10 13:03:58","2024-06-10 14:15:55","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004029819","B17617","ลำภี","RSL","RSL4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-08 11:11:04","2024-06-08 11:53:11","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004031090","B17765","พังโคน-วานรฯ","NEU","NEU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-09 10:00:44","2024-06-09 13:01:51","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004035566","B18525","บางนาตราด กม.22 FMC (BS)","BS","BS8","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-11 01:51:32","2024-06-11 03:30:28","ระบุปัญหาที่พบ (ถ้ามี)","ไม่มี"
"ตรงแผน","520004044640","B19298","ทุ่งหลวง คีรีมาศ (RN)","RN","RN6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-09 15:15:39","2024-06-09 17:07:38","ระบุปัญหาที่พบ (ถ้ามี)","ปกติ"
"ตรงแผน","520004064972","B14341","สาขา PTTOR เพชรบูรณ์บายพาส","RC","RC10SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-09 10:57:04","2024-06-09 12:47:02","ระบุปัญหาที่พบ (ถ้ามี)","ไม่พบ"
